ID       faithfulness    informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step    grammar_step_max
0        0.7942333221435547 0.785247802734375 0.9207028150558472 0.9353461265563965 0.06579333543777466 0.04007399082183838 0.01025390625   0.85888671875   0.0036419023375963452 0.04752803200393923 0.0006303583037390436 0.8428089916706085 0.3932250738143921
1        0.810815155506134 0.8120055198669434 0.9098615050315857 0.9379824995994568 0.02589339017868042 0.04601731896400452 0.30615234375   0.01318359375   0.0340857107847989 0.14520254773243815 0.009306639344768903 0.9565328359603882 0.797660231590271
2        0.7600746154785156 0.7127255797386169 0.8810036778450012 0.9195712208747864 0.05259817838668823 0.05395686626434326 0.0048828125    0.00048828125   0.00599748957618301 0.048824332107422624 0.002992847172017811 0.9867677688598633 0.9768279790878296
3        0.8380721807479858 0.7956619262695312 0.9219207763671875 0.9433117508888245 0.04648071527481079 0.05732432007789612 0.00146484375   0.877685546875  0.010193579718944884 0.06442612004181232 0.0064008415950534935 0.9898456692695617 0.9843781590461731
4        0.8409883379936218 0.8092816472053528 0.9325791597366333 0.9529847502708435 0.06786316633224487 0.08864325284957886 0.0009765625    0.9711456298828125 0.01303735289586058 0.047943004668859326 0.00856108311717201 0.9907305836677551 0.9856863617897034
5        0.7884897589683533 0.7253032922744751 0.8579467535018921 0.919833242893219 0.014756739139556885 0.06921935081481934 0.00146484375   0.00732421875   0.005955400192057115 0.05281319243817495 0.0024277564592266997 0.9309295614560446 0.6487467885017395
6        0.915423572063446 0.8360428214073181 0.9399009346961975 0.9532344937324524 0.05606353282928467 0.029216498136520386 0.00146484375   0.04833984375   0.009779399977071078 0.07760562332654232 0.004237556461111398 0.9873177647590637 0.9729663133621216
7        0.7891017198562622 0.7800041437149048 0.9350364208221436 0.9351872801780701 0.060554325580596924 0.10962414741516113 0.00537109375   0.972625732421875 0.008682138743789597 0.04902741663581904 0.003027300096119726 0.9753981113433838 0.9412701725959778
8        0.8879224061965942 0.8499279022216797 0.9677507281303406 0.9462820887565613 0.009613335132598877 0.008448898792266846 0.0234375       0.27734375      0.01915061621494922 0.10334566174504153 0.008505290004759239 0.8922691464424133 0.5598018765449524
9        0.8043115735054016 0.7712475061416626 0.9089410901069641 0.9258866310119629 0.015758156776428223 0.018079310655593872 0.00244140625   0.3291015625    0.0073581350133026455 0.08163486132638498 0.0026794456130273753 0.9865232507387797 0.973684549331665
10       0.8758589625358582 0.8494120836257935 0.9575075507164001 0.9465532302856445 0.06280970573425293 0.06918299198150635 0.00048828125   0.01611328125   0.006998939840817598 0.064769507039791 0.0018740425988922095 0.9749005198478699 0.9490479230880737
11       0.8825969696044922 0.8014189004898071 0.9299159646034241 0.9223167896270752 0.06711786985397339 0.04998213052749634 0.00390625      0.0126953125    0.02198110800351012 0.10542774998761477 0.015019230547946481 0.9901830554008484 0.9879205226898193
12       0.8140437006950378 0.8066501021385193 0.9183591604232788 0.9462389349937439 0.025686681270599365 0.023664116859436035 0.001953125     0.01416015625   0.016465800200093247 0.1483445149036817 0.0030266621234570036 0.9681534692645073 0.9024258852005005
13       0.843366801738739 0.7995145320892334 0.9341999888420105 0.9449517130851746 0.057166099548339844 0.06156083941459656 0.0009765625    0.10791015625   0.01716832336566924 0.08158304709504584 0.006649699630036912 0.9888368248939514 0.9828586578369141
14       0.8037530183792114 0.7768677473068237 0.9263820052146912 0.9411982297897339 0.05883216857910156 0.08622366189956665 0.0126953125    0.216796875     0.015781351055326586 0.05168829438989046 0.006733251371105335 0.9731043100357055 0.9140820503234863
