ID       faithfulness    informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step    grammar_step_max
0        0.7669969797134399 0.7673832178115845 0.9117752313613892 0.9288311004638672 0.06976145505905151 0.09231007099151611 0.029296875     0.53564453125   0.006092994272778391 0.041943341029417894 0.0010011702698547566 0.9789184778928757 0.9526448845863342
1        0.8319965600967407 0.8310434818267822 0.9161149263381958 0.9484710693359375 0.045218050479888916 0.05135166645050049 0.09423828125   0.16064453125   0.022968158709200086 0.11417907820064682 0.006948952351978502 0.9594296046665737 0.8030111789703369
2        0.8105023503303528 0.796966016292572 0.9406253695487976 0.9312867522239685 0.05966806411743164 0.07319587469100952 0.0029296875    0.00537109375   0.005817203116018561 0.06306081740973934 0.0002769424222313909 0.8931892769677299 0.689745306968689
3        0.8953675031661987 0.8395428657531738 0.9009532928466797 0.953344464302063 0.05184757709503174 0.05752003192901611 0.0029296875    0.01904296875   0.007599188105840422 0.06597841353661395 0.0027433086111652563 0.9812287449836731 0.9757871627807617
4        0.8415250182151794 0.8182371854782104 0.936427116394043 0.9527307152748108 0.050046443939208984 0.03155580163002014 0.0009765625    0.9970531463623047 0.02308798252747051 0.08154289084325313 0.01188805771858178 0.9916078895330429 0.9910372495651245
5        0.7256396412849426 0.6863338947296143 0.8547043800354004 0.9190022349357605 0.020080208778381348 0.07730370759963989 0.0009765625    0.00439453125   0.005459153116117975 0.07688782380907638 0.0005486632754703412 0.980123085635049 0.9629733562469482
6        0.8843143582344055 0.8350024223327637 0.9398098587989807 0.9530026912689209 0.03990393877029419 0.019289076328277588 0.0009765625    0.751708984375  0.006398333984040272 0.07312842621761388 0.0024410733471430697 0.96578116218249 0.9111471176147461
7        0.7974616885185242 0.785517156124115 0.9473307728767395 0.9330345988273621 0.0533524751663208 0.1123647689819336 0.005859375     0.56640625      0.006509223390865246 0.04536344962409928 0.0010011688376702218 0.9817803859710693 0.9526450037956238
8        0.8872748017311096 0.8245530128479004 0.8846122026443481 0.9486871957778931 0.06273031234741211 0.04660743474960327 0.0078125       0.8922119140625 0.023530608021306892 0.12472353130905071 0.004607700559328565 0.9621423333883286 0.9405386447906494
9        0.8119358420372009 0.7586833238601685 0.9170941114425659 0.9310460090637207 0.03940039873123169 0.07889953255653381 0.00146484375   0.97393798828125 0.003150180279561356 0.07874966490303643 0.00039735162920923815 0.9674514134724935 0.9105128645896912
10       0.8886526226997375 0.8557930588722229 0.9558425545692444 0.9496672749519348 0.058521926403045654 0.06289595365524292 0.0009765625    0.4609375       0.00366749678113239 0.05369011068363136 0.0013931949244922112 0.9502551436424256 0.8758772015571594
11       0.8266119956970215 0.7836202383041382 0.946469783782959 0.9203952550888062 0.06350702047348022 0.05132472515106201 0.001953125     0.01318359375   0.005782687725803082 0.07307779456878657 0.0014939595839143962 0.9561593294143677 0.8663540482521057
12       0.806968092918396 0.7854730486869812 0.9222769737243652 0.9403194785118103 0.028060197830200195 0.05939143896102905 0.0009765625    0.02587890625   0.015463436823392192 0.11803258281182659 0.007286069244546685 0.9738420077732631 0.9394906759262085
13       0.8608403205871582 0.8319516181945801 0.954507052898407 0.9445638656616211 0.039501845836639404 0.0501648485660553 0.0009765625    0.1259765625    0.008589924681515452 0.05383279756469702 0.003612949030589121 0.9448676606019338 0.7810937166213989
14       0.8178081512451172 0.7588787078857422 0.8844720721244812 0.9331631660461426 0.046133220195770264 0.014008641242980957 0.005859375     0.9771270751953125 0.008796887647932853 0.059327194812506555 0.003331872663016024 0.9708656668663025 0.9509206414222717
15       0.8529284596443176 0.8525991439819336 0.8889028429985046 0.9553260803222656 0.05910658836364746 0.07512754201889038 0.00244140625   0.0009765625    0.022311604856831518 0.10281721834426003 0.005121181046017089 0.9891318612628512 0.9735459089279175
16       0.8417853116989136 0.8187662363052368 0.941057562828064 0.9459214210510254 0.0682569146156311 0.08702218532562256 0.01025390625   0.9803924560546875 0.008901675587337829 0.05913936818291434 0.0022543976151829775 0.9840460419654846 0.9707717895507812
